,Predicted,Original,Difference
250,2282.4983,2305,22.501708984375
251,2291.2842,2316,24.7158203125
252,2232.9639,2291,58.0361328125
253,2247.3474,2282,34.652587890625
254,2262.8865,2292,29.113525390625
255,2264.2085,2258,-6.20849609375
256,2256.913,2244,-12.9130859375
257,2264.155,2253,-11.155029296875
258,2249.6423,2216,-33.642333984375
259,2236.0398,2237,0.960205078125
260,2238.5273,2216,-22.52734375
261,2219.3318,2163,-56.331787109375
262,2214.2983,2203,-11.29833984375
263,2201.58,2220,18.419921875
264,2157.4624,2214,56.53759765625
265,2174.7395,2233,58.260498046875
266,2192.1206,2235,42.87939453125
267,2198.0715,2234,35.928466796875
268,2225.0781,2212,-13.078125
269,2232.45,2246,13.550048828125
270,2240.596,2203,-37.595947265625
271,2228.4287,2232,3.5712890625
272,2254.7273,2196,-58.727294921875
273,2236.8452,2194,-42.84521484375
274,2236.759,2210,-26.759033203125
275,2213.0408,2192,-21.040771484375
276,2197.1494,2136,-61.1494140625
277,2203.5532,2154,-49.55322265625
278,2191.2012,2132,-59.201171875
279,2143.7336,2108,-35.733642578125
280,2145.662,2123,-22.662109375
281,2117.5518,2115,-2.5517578125
282,2096.82,2058,-38.820068359375
283,2099.1306,2068,-31.130615234375
284,2097.1606,2060,-37.16064453125
285,2049.1462,2032,-17.146240234375
286,2042.7925,2063,20.20751953125
287,2038.2836,2048,9.7164306640625
288,2018.9102,2034,15.08984375
289,2036.2455,2049,12.7545166015625
290,2036.402,2052,15.5980224609375
291,2022.5925,2053,30.407470703125
292,2035.2179,2029,-6.2178955078125
293,2044.3724,2035,-9.3724365234375
294,2057.682,2001,-56.681884765625
295,2043.8328,2017,-26.832763671875
296,2042.7454,1994,-48.745361328125
297,2018.6011,1942,-76.60107421875
298,2013.8915,1928,-85.8914794921875
299,2002.1177,1927,-75.11767578125
300,1952.4138,1847,-105.413818359375
301,1919.0925,1863,-56.092529296875
302,1905.4352,1850,-55.4351806640625
303,1832.0305,1794,-38.030517578125
304,1826.0428,1828,1.9571533203125
305,1813.541,1821,7.458984375
306,1762.3726,1782,19.62744140625
307,1776.377,1802,25.623046875
308,1780.3605,1815,34.6395263671875
309,1749.97,1823,73.030029296875
310,1765.2649,1808,42.735107421875
311,1784.1917,1834,49.808349609375
312,1809.822,1833,23.177978515625
313,1811.3944,1839,27.6055908203125
314,1835.7256,1826,-9.7255859375
315,1854.2264,1817,-37.2264404296875
316,1856.0022,1816,-40.002197265625
317,1856.306,1801,-55.3060302734375
318,1850.7675,1764,-86.7674560546875
319,1837.2194,1783,-54.2193603515625
320,1819.2811,1792,-27.2811279296875
321,1773.3793,1742,-31.3792724609375
322,1775.927,1753,-22.927001953125
323,1777.6306,1767,-10.630615234375
324,1732.8599,1715,-17.85986328125
325,1728.476,1724,-4.4759521484375
326,1747.1292,1706,-41.129150390625
327,1699.743,1635,-64.7430419921875
328,1698.2444,1646,-52.244384765625
329,1690.3473,1661,-29.3472900390625
330,1618.2504,1607,-11.2503662109375
331,1602.808,1629,26.1920166015625
332,1614.8914,1629,14.108642578125
333,1575.2808,1600,24.71923828125
334,1577.9008,1623,45.0992431640625
335,1586.496,1626,39.5040283203125
336,1562.4996,1616,53.5003662109375
337,1579.2196,1603,23.7803955078125
338,1603.1738,1588,-15.173828125
339,1599.0634,1579,-20.0633544921875
340,1593.8182,1585,-8.8182373046875
341,1577.7435,1581,3.2564697265625
342,1566.9382,1568,1.061767578125
343,1565.4185,1572,6.58154296875
344,1564.1791,1561,-3.1790771484375
345,1553.573,1533,-20.572998046875
346,1548.9156,1516,-32.9156494140625
347,1541.3403,1537,-4.34033203125
348,1516.8547,1529,12.145263671875
349,1499.2424,1544,44.757568359375
350,1509.431,1537,27.5689697265625
351,1505.9861,1527,21.013916015625
352,1516.7732,1531,14.226806640625
353,1524.4496,1540,15.5504150390625
354,1514.0718,1520,5.92822265625
355,1517.6006,1528,10.3994140625
356,1533.5931,1534,0.4068603515625
357,1524.5559,1531,6.444091796875
358,1528.038,1519,-9.0379638671875
359,1530.5975,1504,-26.5975341796875
