,Predicted,Original,Difference
150,1423.949,1457,33.051025390625
151,1437.1895,1453,15.810546875
152,1445.1963,1460,14.8037109375
153,1451.0597,1464,12.9403076171875
154,1449.074,1467,17.926025390625
155,1458.2305,1475,16.76953125
156,1463.2856,1484,20.71435546875
157,1467.2626,1484,16.7374267578125
158,1474.3579,1481,6.64208984375
159,1482.5977,1498,15.40234375
160,1482.7063,1505,22.293701171875
161,1478.9972,1497,18.0028076171875
162,1494.2222,1479,-15.22216796875
163,1502.3025,1482,-20.302490234375
164,1496.521,1482,-14.52099609375
165,1477.4795,1492,14.5205078125
166,1478.001,1503,24.9990234375
167,1477.433,1510,32.5670166015625
168,1487.376,1489,1.6240234375
169,1499.1951,1468,-31.195068359375
170,1507.394,1475,-32.39404296875
171,1488.0571,1456,-32.05712890625
